"COMPNAME","pmorigin"
"Manita","Metavolcanics"
"Manlius","Acid shale"
"Manning","Sedimentary rock"
"Mannixlee","Igneous, metamorphic and sedimentary rock"
"Mano","Dolomite"
"Manogue","Basalt"
"Manor","Mica schist"
"Manselo","Igneous and sedimentary rock"
"Mansfield","Metamorphic and sedimentary rock"
"Mansic","Sedimentary rock"
"Mansker","Sedimentary rock"
"Mansonia","Granodiorite"
"Mantachie","Sedimentary rock"
"Manteo","Mica schist"
"Manter","Sedimentary rock"
"Mantlemine","Sandstone and shale"
"Manu","Pahoehoe lava"
"Manuelito","Sandstone"
"Manvel","Limestone and shale"
"Manzanar","Mixed"
"Manzanillo","Fanglomerate"
"Manzanita","Basic igneous rock"
"Manzano","Sandstone and shale"
"Manzanola","Shale"
"Manzanst","Shale"
"Maple Hollow","Limestone and sandstone"
"Maple Mountain","Igneous rock"
"Maplegrove","Cherty limestone"
"Mapleton","Shale and siltstone"
"Maplewood","Dolomite"
"Mara","Sedimentary rock"
"Maraguez","Volcanic rock"
"Marathon","Granite"
"Marbie","Limestone and shale"
"Marblecreek","Quartzite"
"Marblehead","Limestone and dolomite"
"Marblemount","Granite"
"Marblepoint","Mixed"
"Marbleyard","Metasedimentary rock"
"Marcel","Basalt"
"Marcelinas","Sandstone and shale"
"Marcetta","Gneiss"
"Marcola","Volcanic and sedimentary rock"
"Marconi","Shale and siltstone"
"Marcou","Sandstone"
"Marcum","Mixed"
"Marcuse","Sedimentary rock"
"Mardin","Sedimentary rock"
"Marepas","Volcanic rock"
"Maresua","Serpentinite"
"Marfa","Igneous and sedimentary rock"
"Margate","Limestone"
"Margie","Glauconitic sandstone"
"Margo","Mica schist"
"Margosa","Sandstone"
"Marguerite","Metamorphic rock"
"Maria","Sedimentary rock"
"Mariana","Basalt"
"Mariano","Igneous rock"
"Marianolake","Sandstone and shale"
"Mariaspass","Shale"
"Mariaville","Siltstone"
"Maricao","Basalt"
"Maricopa","Limestone, sandstone, and shale"
"Marielouise","Metasedimentary rock"
"Marietta","Sedimentary rock"
"Marimel","Sedimentary rock"
"Marina","Mixed"
"Mariola","Limestone"
"Mariposa","Metamorphic rock"
"Mariscal","Limestone and shale"
"Marjane","Sandstone"
"Markes","Shale and siltstone"
"Markland","Sedimentary rock"
"Markscreek","Volcanic rock"
"Marla","Granite"
"Marlboro","Sedimentary rock"
"Marlean","Limestone"
"Marlic","Basalt"
"Marlow","Granite"
"Marmarth","Sandstone"
"Marmothill","Volcanic rock"
"Marmotland","Granodiorite"
"Marosa","Granite"
"Marpa","Metamorphic and sedimentary rock"
"Marpol","Quartz-diorite"
"Marquez","Sandstone and shale"
"Marrowbone","Sandstone"
"Mars Hill","Biotite gneiss"
"Marseilles","Shale"
"Marsh","Limestone and shale"
"Marshbrook","Limestone and sandstone"
"Marsite","Rhyolite"
"Mart","Andesite"
"Martab","Sandstone"
"Martee","Granitoid"
"Marten","Igneous rock"
"Marthaspeak","Sandstone"
"Martillo","Tuff"
"Martin","Limestone and shale"
"Martin Pena","Igneous, metamorphic and sedimentary rock"
"Martineck","Andesite"
"Martini","Mixed"
"Martinsdale","Sandstone"
"Martis","Igneous rock"
"Martland","Gneiss"
"Marty","Igneous rock"
"Marvan","Shale"
"Marvin","Sedimentary rock"
"Marvyn","Sedimentary rock"
"Mary","Igneous rock"
"Maryjane","Limestone"
"Maryspeak","Igneous rock"
"Masada","Igneous, metamorphic and sedimentary rock"
"Masardis","Phyllite"
"Mascamp","Basalt"
"Mascarenas","Sandstone and shale"
"Maschetah","Sedimentary rock"
"Masham","Shale"
"Mashpee","Granite and gneiss"
"Mashulaville","Sedimentary rock"
"Masonic","Andesite"
"Massack","Mixed"
"Massadona","Clayey shale"
"Massanetta","Limestone and shale"
"Massanutten","Sandstone"
"Massbach","Calcareous shale"
"Massena","Limestone"
"Masterson","Metasedimentary rock"
"Masthead","Metasedimentary rock"
"Mastly","Mixed"
"Mata","Shale"
"Matanzas","Volcanic rock"
"Matcher","Gneiss"
"Matewan","Sandstone"
"Matfield","Cherty limestone"
"Matheny","Basalt"
"Mathers","Granite"
"Matheson","Basalt"
"Mathis","Sandstone"
"Mathiston","Sedimentary rock"
"Mathon","Basalt"
"Matilo","Sandstone"
"Matlacha","Limestone"
"Matmon","Limestone"
"Matneflat","Quartzite"
"Matoon","Igneous and sedimentary rock"
"Matoy","Limestone"
"Matquaw","Igneous rock"
"Mattaponi","Igneous and metamorphic rock"
"Mattier","Welded tuff"
"Mattole","Mudstone"
"Maubila","Sedimentary rock"
"Maucav","Volcanic rock"
"Maudlin","Sandstone"
"Maudrey","Andesite"
"Maughan","Limestone, sandstone, and shale"
"Maule","Volcanic rock"
"Maunabo","Granite"
"Maunaiu","Pahoehoe lava"
"Maurertown","Limestone, sandstone, and shale"
"Mauricanyon","Sandstone and shale"
"Maurice","Argillite"
"Maury","Limestone"
"Maverick","Shale"
"Mavreeso","Sandstone"
"Mawae","Aa lava"
"Mawspring","Argillite"
"Max","Calcareous shale"
"Maxton","Sedimentary rock"
"Maxwell","Serpentinite"
"May Day","Igneous and sedimentary rock"
"Mayacama","Sandstone"
"Maybid","Granite and gneiss"
"Maydol","Basalt"
"Mayfield","Shale"
"Mayflower","Shale"
"Maygal","Rhyolite"
"Mayger","Shale"
"Mayhew","Sedimentary rock"
"Mayhill","Sandstone"
"Maymead","Quartzite"
"Maymen","Sandstone and shale"
"Maynard Lake","Ignimbrite"
"Mayo","Granodiorite"
"Mayodan","Mudstone"
"Mayoworth","Sandstone and shale"
"Mayqueen","Sandstone"
"Maysdorf","Igneous, metamorphic and sedimentary rock"
"Maysprings","Interbedded sedimentary rock"
"Mayswell","Basalt"
"Maytag","Chalk"
"Mazarn","Sandstone and shale"
"Mazdale","Basalt"
"Mazourka","Mixed"
"Mazuma","Mixed"
"Mcafee","Phosphatic limestone"
"Mcallister","Mixed"
"Mcalpin","Basalt"
"Mcarthur","Schist"
"Mcbain","Igneous rock"
"Mcbee","Igneous and sedimentary rock"
"Mcbeth","Mixed"
"Mcbiggam","Basalt"
"Mccabe","Igneous, metamorphic and sedimentary rock"
"Mccadden","Limestone and dolomite"
"Mccain","Basalt"
"Mccaleb","Sedimentary rock"
"Mccall","Migmatitic gneiss"
"Mccamy","Metasedimentary rock"
"Mccarey","Basalt"
"Mccarran","Limestone"
"Mccarthy","Conglomerate"
"Mccarty","Sandstone and shale"
"Mccartycreek","Basalt"
"Mccay","Metasedimentary rock"
"Mcclanahan","Metamorphic rock"
"Mcclenden","Basalt"
"Mccloud","Granite"
"Mcclung","Limestone and sandstone"
"Mccomas","Basalt"
"Mcconnel","Volcanic rock"
"Mccook","Igneous, metamorphic and sedimentary rock"
"Mccooley","Sandstone"
"Mccort","Granite and gneiss"
"Mccoy","Igneous and metamorphic rock"
"Mccracken","Sandstone and shale"
"Mccree","Granodiorite"
"Mccrory","Sedimentary rock"
"Mccrosket","Metasedimentary rock"
"Mccullan","Sedimentary rock"
"Mccully","Igneous rock"
"Mccurdy","Mixed"
"Mccutchen","Ignimbrite"
"Mcdaniel","Basalt"
"Mcdesh","Basalt"
"Mcduff","Sedimentary rock"
"Mcelmo","Sandstone"
"Mcelroy","Basalt"
"Mcfadden","Igneous, metamorphic and sedimentary rock"
"Mcfarland","Granite"
"Mcgaffey","Shale"
"Mcgarr","Basalt"
"Mcgarvey","Sandstone"
"Mcgary","Limestone, sandstone, and shale"
"Mcgilvery","Graywacke"
"Mcginnis","Metamorphic rock"
"Mcginty","Igneous rock"
"Mcgowan","Basalt"
"Mcgravey","Basalt"
"Mcivey","Volcanic and sedimentary rock"
"Mckaylake","Sedimentary rock"
"Mckeen","Sedimentary rock"
"Mckelvie","Sandstone"
"Mckenzie","Sedimentary rock"
"Mckeonhills","Mudstone"
"Mckinley","Mica schist"
"Mckinnon","Basalt"
"Mckittrick","Limestone and dolomite"
"Mcknight","Sandstone and shale"
"Mclain","Sedimentary rock"
"Mclaurin","Sedimentary rock"
"Mclennan","Shale and siltstone"
"Mcmannamy","Argillite"
"Mcmille","Sedimentary rock"
"Mcmullin","Metasedimentary rock"
"Mcmurdie","Basalt"
"Mcnab","Sandstone and siltstone"
"Mcnair","Volcanic rock"
"Mcnamee","Andesite"
"Mcneely","Igneous, metamorphic and sedimentary rock"
"Mcninch","Igneous and sedimentary rock"
"Mcnull","Igneous rock"
"Mcnye","Volcanic rock"
"Mcorreon","Basalt"
"Mcpan","Volcanic rock"
"Mcphie","Granite"
"Mcquarrie","Igneous rock"
"Mcqueen","Sedimentary rock"
"Mcrae","Shale"
"Mcraven","Sedimentary rock"
"Mctom","Granite"
"Mcvegas","Metavolcanics"
"Mcvickers","Sandstone"
"Mcwatt","Igneous and sedimentary rock"
"Mcwillar","Metasedimentary rock"
"Mcwillis","Andesite"
"Meadland","Igneous and metamorphic rock"
"Meadowcreek","Sedimentary rock"
"Meadowfield","Gneiss"
"Meadowlake","Sandstone"
"Meadowpass","Welded tuff"
"Meadowport","Schist"
"Meadowridge","Volcanic rock"
"Meadowville","Schist"
"Meadview","Igneous and sedimentary rock"
"Meagher","Sedimentary rock"
"Means","Sedimentary rock"
"Meaton","Igneous, metamorphic and sedimentary rock"
"Meaufun","Tuff"
"Meaver","Metamorphic and sedimentary rock"
"Mec","Sandstone and shale"
"Mecca","Granite"
"Meccapass","Granite and gneiss"
"Mechanicsburg","Sandstone and siltstone"
"Meckesville","Sedimentary rock"
"Mecklenburg","Diorite"
"Meda","Igneous and sedimentary rock"
"Medburn","Igneous and sedimentary rock"
"Medco","Andesite"
"Medford","Igneous, metamorphic and sedimentary rock"
"Medicinelodge","Sedimentary rock"
"Medlake","Volcanic rock"
"Medlaval","Mixed"
"Medley","Igneous rock"
"Medlin","Marl"
"Medomak","Slate"
"Medrano","Scoria"
"Medrick","Tuff"
"Medved","Metasedimentary rock"
"Medway","Interbedded sedimentary rock"
"Meegernot","Limestone"
"Meegero","Limestone"
"Meeks","Granodiorite"
"Meeteetse","Sedimentary rock"
"Meggett","Sedimentary rock"
"Megonot","Shale and siltstone"
"Mehlhorn","Basalt"
"Meikle","Granite"
"Meiss","Andesite"
"Mekinock","Shale"
"Mekkadale","Granitoid"
"Melakwa","Andesite"
"Meland","Basalt"
"Melbourne","Sandstone and siltstone"
"Melby","Sedimentary rock"
"Meld","Volcanic rock"
"Melder","Gneiss"
"Melga","Igneous and sedimentary rock"
"Melhomes","Sandstone and shale"
"Melhorn","Basalt"
"Mellenthin","Limestone"
"Melling","Andesite"
"Melloe","Mixed"
"Mellor","Limestone, sandstone, and shale"
"Mellowmoon","Volcanic rock"
"Meloche","Mixed"
"Melody","Volcanic rock"
"Meloland","Mixed"
"Melones","Limestone"
"Meloza","Basalt"
"Melrose","Metamorphic rock"
"Melrude","Metasedimentary rock"
"Melton","Granite"
"Melville","Igneous rock"
"Melvin","Interbedded sedimentary rock"
"Melvina","Limestone"
"Memaloose","Tuff breccia"
"Memmott","Limestone and sandstone"
"Mena","Sandstone and shale"
"Menagerie","Igneous rock"
"Menard","Sandstone"
"Menbar","Igneous and sedimentary rock"
"Menbo","Tuff"
"Mendi","Sandstone and shale"
"Mendocino","Sedimentary rock"
"Menefee","Shale"
"Menehune","Pahoehoe lava"
"Menlo","Basalt"
"Mentmore","Sandstone and shale"
"Mento","Limestone"
"Mentor","Sedimentary rock"
"Menzel","Basalt"
"Merced","Granite"
"Mercer","Phosphatic limestone"
"Mercey","Shale"
"Merden","Igneous, metamorphic and sedimentary rock"
"Meredith","Basalt"
"Mereta","Limestone"
"Mergel","Rhyolite"
"Merino","Quartz-monzonite"
"Meriwhitica","Limestone"
"Merkel","Granite"
"Merlin","Basalt"
"Merna","Sandstone"
"Meros","Sedimentary rock"
"Merrill","Granite"
"Merrillan","Sandstone and shale"
"Merrimac","Granite and gneiss"
"Merriman","Sedimentary rock"
"Merritt","Sedimentary rock"
"Merry Oaks","Igneous, metamorphic and sedimentary rock"
"Mertz","Cherty limestone"
"Mesa","Sandstone and shale"
"Mesabase","Sandstone"
"Mescal","Limestone"
"Mesei","Dacite"
"Mesman","Basalt"
"Mespun","Sandstone"
"Messer","Igneous, metamorphic and sedimentary rock"
"Metacomet","Granite and gneiss"
"Metate","Dacite"
"Metcalf","Sandstone and shale"
"Metlen","Quartzite"
"Metolius","Pumice"
"Metre","Mudstone"
"Mettah","Interbedded sedimentary rock"
"Metuck","Sandstone and siltstone"
"Metz","Sedimentary rock"
"Mexispring","Granite"
"Mextank","Limestone"
"Meystre","Sandstone"
"Mezzer","Limestone"
"Mezzo","Sandstone"
"Mhoon","Sedimentary rock"
"Miami","Limestone and dolomite"
"Miamian","Limestone and dolomite"
"Miasotus","Schist"
"Miburn","Volcanic rock"
"Micapeak","Granite"
"Micaville","Metamorphic rock"
"Michigamme","Basalt"
"Michigan","Igneous and sedimentary rock"
"Mickey","Mixed"
"Microy","Basalt"
"Middlebox","Sedimentary rock"
"Middlebrook","Interbedded sedimentary rock"
"Middleburg","Igneous and metamorphic rock"
"Middlebury","Sandstone and shale"
"Middlecreek","Mixed"
"Middlehill","Quartzite"
"Middlewood","Shale"
"Midelight","Schist"
"Mident","Sandstone"
"Midfield","Igneous, metamorphic and sedimentary rock"
"Midfork","Sedimentary rock"
"Midland","Igneous, metamorphic and sedimentary rock"
"Midnight","Sandstone and shale"
"Midnot","Shale and siltstone"
"Mido","Sandstone"
"Midpeak","Volcanic and sedimentary rock"
"Midraw","Volcanic rock"
"Midway","Shale"
"Mierhill","Igneous rock"
"Mieruf","Metasedimentary rock"
"Mifflin","Dolomite"
"Migern","Basalt"
"Miguel","Mudstone"
"Mijay","Mixed"
"Mijoysee","Limestone and dolomite"
"Mike","Basalt"
"Mikesell","Shale"
"Mikett","Sandstone and shale"
"Mikim","Sandstone and shale"
"Mikkalo","Basalt"
"Milan","Sedimentary rock"
"Milbury","Metasedimentary rock"
"Milby","Igneous, metamorphic and sedimentary rock"
"Milcan","Volcanic rock"
"Mildred","Igneous rock"
"Milham","Sedimentary rock"
"Military","Sandstone"
"Milk","Rhyolite"
"Milkweed","Igneous and sedimentary rock"
"Mill Hollow","Igneous rock"
"Milladore","Gneiss"
"Millan","Limestone"
"Millboro","Shale"
"Millcreek","Quartzite"
"Milldam","Volcanic rock"
"Milldraper","Schist"
"Millenium","Volcanic rock"
"Miller","Sedimentary rock"
"Millerflat","Volcanic rock"
"Millerlake","Sedimentary rock"
"Millerlux","Tuff"
"Millerridge","Ultramafic rock"
"Millerton","Schist"
"Milleson","Sandstone and shale"
"Millett","Sandstone"
"Millheim","Calcareous shale"
"Millich","Andesite"
"Millicoma","Sandstone"
"Milligan","Conglomerate"
"Milling","Basalt"
"Millner","Metavolcanics"
"Millox","Mixed"
"Millpaw","Sandstone and shale"
"Millpoint","Igneous, metamorphic and sedimentary rock"
"Millpond","Mixed"
"Millrace","Volcanic rock"
"Millrock","Limestone and sandstone"
"Millsap","Sedimentary rock"
"Millsdale","Limestone"
"Millsholm","Sandstone and shale"
"Millsite","Schist"
"Millswitch","Igneous and metamorphic rock"
"Millville","Limestone and dolomite"
"Milok","Sandstone"
"Milren","Sandstone and shale"
"Milton","Limestone"
"Milvar","Mixed"
"Mimbres","Limestone, sandstone, and shale"
"Mimentor","Mixed"
"Mimosa","Limestone"
"Minaloosa","Metasedimentary rock"
"Minam","Igneous rock"
"Minat","Volcanic rock"
"Minatare","Sedimentary rock"
"Minchey","Sandstone and shale"
"Minco","Sedimentary rock"
"Mindego","Basalt"
"Mindlebaugh","Mixed"
"Mine","Metamorphic rock"
"Mine Run","Gneiss"
"Miner","Shale"
"Mineral","Granite"
"Mineral Mountain","Igneous rock"
"Minersville","Granite"
"Minerva","Sandstone"
"Mineshaft","Igneous rock"
"Minestope","Granite"
"Mingo","Limestone"
"Minhoyt","Granitoid"
"Minidoka","Basalt"
"Minneha","Granite"
"Minnelusa","Limestone"
"Minneosa","Sedimentary rock"
"Minnequa","Limestone and shale"
"Minniece","Basic tuff"
"Minniecreek","Metavolcanics"
"Minnieville","Gneiss"
"Minnimaud","Interbedded sedimentary rock"
"Minnith","Sandstone"
"Minnye","Mixed"
"Minqwet","Limestone and shale"
"Minter","Sedimentary rock"
"Minu","Welded tuff"
"Minvale","Cherty limestone"
"Minveno","Basalt"
"Minwells","Mixed"
"Mion","Shale"
"Mipolomol","Sandstone and shale"
"Mippon","Mixed"
"Mirabal","Granite"
"Miracle","Sedimentary rock"
"Mirada","Gneiss"
"Mirage","Granite"
"Miramar","Quartz-diorite"
"Mirand","Igneous and metamorphic rock"
"Mirasol","Tuff"
"Mirerock","Schist"
"Mirror","Volcanic rock"
"Mirror Lake","Limestone and sandstone"
"Misad","Mixed"
"Misenheimer","Argillite"
"Mishak","Igneous, metamorphic and sedimentary rock"
"Mishakal","Argillite"
"Mislatnah","Peridotite"
"Missile","Igneous rock"
"Missionsweet","Granitoid"
"Missionwell","Basalt"
"Mississinewa","Limestone and shale"
"Mitch","Igneous rock"
"Mitchell","Siltstone"
"Mitiwanga","Sandstone"
"Mitotes","Metamorphic and sedimentary rock"
"Mitre","Igneous rock"
"Mitring","Igneous rock"
"Mitten","Quartzite"
"Mittenbutte","Calcareous sandstone"
"Mivida","Sandstone"
"Mizel","Rhyolite"
"Moab","Igneous rock"
"Moano","Schist"
"Moapa","Mixed"
"Mobate","Granite"
"Mobeetie","Sedimentary rock"
"Moberg","Granite"
"Mobl","Mixed"
"Moca","Conglomerate"
"Mocarey","Igneous, metamorphic and sedimentary rock"
"Mocho","Sedimentary rock"
"Mocksville","Diabase"
"Moclom","Sandstone"
"Mocmont","Argillite"
"Moda","Metamorphic and sedimentary rock"
"Modeama","Limestone"
"Modem","Limestone"
"Modess","Granite"
"Modesto","Sandstone"
"Modjeska","Mixed"
"Modkin","Basalt"
"Modo","Sandstone and shale"
"Modoc","Igneous rock"
"Modyon","Basalt"
"Moe","Tuff"
"Moen","Granite"
"Moenkopie","Sandstone"
"Moento","Sandstone"
"Moentria","Sandstone and siltstone"
"Moepitz","Sandstone and shale"
"Moffat","Sandstone"
"Mogg","Igneous rock"
"Moglia","Shale"
"Mogote","Basalt"
"Mohaggin","Granite"
"Mohall","Igneous and sedimentary rock"
"Mohat","Igneous, metamorphic and sedimentary rock"
"Mohave","Limestone, sandstone, and shale"
"Mohocken","Latite"
"Mohon","Volcanic rock"
"Moira","Sandstone"
"Mojo","Igneous rock"
"Mokaac","Sedimentary rock"
"Mokelumne","Sandstone"
"Mokiak","Granite"
"Moko","Dolomite"
"Molalla","Andesite"
"Molas","Andesite"
"Molcal","Calcareous shale"
"Molen","Sandstone and shale"
"Molinaro","Sandstone and shale"
"Molinos","Igneous rock"
"Molion","Mixed"
"Mollco","Igneous, metamorphic and sedimentary rock"
"Mollet","Igneous rock"
"Molly","Gneiss"
"Molokai","Basalt"
"Momoli","Gneiss"
"Monaberg","Metavolcanics"
"Monacan","Igneous and metamorphic rock"
"Monache","Granite"
"Monad","Igneous rock"
"Monadnock","Granite and gneiss"
"Monahans","Limestone"
"Monarch","Limestone and shale"
"Monarda","Schist and phyllite"
"Monasterio","Tuff breccia"
"Monbutte","Shale"
"Moncha","Shale and siltstone"
"Moncisco","Porcellanite"
"Moncure","Igneous, metamorphic and sedimentary rock"
"Mondey","Sandstone"
"Mongaup","Interbedded sedimentary rock"
"Monger","Sandstone"
"Mongle","Igneous and metamorphic rock"
"Monibasin","Volcanic rock"
"Monida","Calcareous siltstone"
"Monierco","Sandstone and shale"
"Monjeau","Igneous and sedimentary rock"
"Monogram","Sandstone"
"Monolake","Andesite"
"Monon","Limestone"
"Monongahela","Limestone, sandstone, and shale"
"Monoridge","Sandstone"
"Monox","Igneous rock"
"Monpark","Shale"
"Monroe","Igneous rock"
"Monserate","Granite"
"Montague","Igneous rock"
"Montalto","Gabbro"
"Montalva","Basalt"
"Montara","Serpentinite"
"Montauk","Gneiss"
"Montchief","Granodiorite"
"Monte","Igneous rock"
"Monte Cristo","Mixed"
"Monteagle","Sandstone"
"Montebello","Granite"
"Montecito","Sandstone and shale"
"Montegrande","Igneous, metamorphic and sedimentary rock"
"Monteola","Sandstone and shale"
"Montevallo","Acid shale"
"Montez","Granite"
"Montezuma","Volcanic rock"
"Monticello","Sandstone"
"Montillo","Basalt"
"Montonia","Schist"
"Montour","Igneous rock"
"Montoya","Shale"
"Montpellier","Granite"
"Montrose","Shale"
"Montsweet","Sandstone"
"Montvale","Sandstone"
"Montwel","Shale and siltstone"
"Monue","Sandstone"
"Monumentpeak","Limestone"
"Monumentrock","Andesite"
"Monvero","Calcareous sandstone"
"Moodig","Igneous, metamorphic and sedimentary rock"
"Moodybasin","Mixed"
"Mooers","Igneous and sedimentary rock"
"Moohoo","Quartzite"
"Moomaw","Sandstone and shale"
"Moomer","Metavolcanics"
"Moonbeam","Volcanic rock"
"Mooncreek","Sandstone"
"Moondog","Sedimentary rock"
"Moonlight","Sedimentary rock"
"Moonridge","Granite"
"Moonset","Sandstone and shale"
"Moonshine","Sandstone"
"Moonstone","Granite"
"Mooreville","Sedimentary rock"
"Moorhead","Calcareous shale"
"Moose River","Granite"
"Moosed","Sandstone"
"Mooseflat","Granite"
"Moosehead","Metasedimentary rock"
"Moosejaw","Granite"
"Mooseridge","Igneous rock"
"Mooshaunee","Shale and siltstone"
"Moosilauke","Granite and gneiss"
"Mopana","Basalt"
"Mopang","Basalt"
"Morado","Volcanic rock"
"Morales","Sedimentary rock"
"Moran","Igneous and metamorphic rock"
"Moranch","Mixed"
"Morapos","Shale"
"Morbench","Mixed"
"Morclay","Shale"
"Mord","Igneous rock"
"Moreau","Calcareous shale"
"Morefield","Sandstone"
"Moreglade","Basalt"
"Morehead","Sedimentary rock"
"Morehouse","Volcanic rock"
"Moreland","Sedimentary rock"
"Morenda","Granite and gneiss"
"Moreno","Igneous and sedimentary rock"
"Morenogulch","Acid shale"
"Moret","Igneous, metamorphic and sedimentary rock"
"Morey","Igneous, metamorphic and sedimentary rock"
"Morfitt","Argillite"
"Morgala","Sandstone"
"Morganfield","Sedimentary rock"
"Morganhills","Sedimentary rock"
"Moriah","Limestone"
"Moriartche","Shale"
"Moriarty","Metamorphic and sedimentary rock"
"Morical","Granite"
"Morley","Limestone and shale"
"Mormon Mesa","Limestone"
"Mormonwell","Limestone"
"Mormount","Volcanic rock"
"Morningstar","Argillite"
"Morongo","Granitoid"
"Moroni","Shale"
"Morop","Basalt"
"Morris","Sandstone and siltstone"
"Morrison","Limestone and sandstone"
"Morristown","Limestone, sandstone, and shale"
"Morrisville","Limestone and shale"
"Morrow","Basalt"
"Morscour","Andesite"
"Morse","Mixed"
"Morset","Igneous, metamorphic and sedimentary rock"
"Mortenson","Sandstone"
"Morton","Calcareous siltstone"
"Morval","Sandstone and shale"
"Morven","Calcareous conglomerate"
"Mosca","Igneous rock"
"Moscow","Granite"
"Moses","Granite"
"Moshannon","Shale and siltstone"
"Mosheim","Limestone"
"Mosher","Sedimentary rock"
"Mosida","Igneous and sedimentary rock"
"Mosinee","Granite"
"Moskee","Sedimentary rock"
"Moslander","Igneous, metamorphic and sedimentary rock"
"Mosman","Granodiorite"
"Moso","Granite and gneiss"
"Mosquet","Andesite"
"Mosroc","Granite"
"Mosscreek","Igneous rock"
"Mostval","Igneous and metamorphic rock"
"Moswell","Shale"
"Mota","Sandstone"
"Motoqua","Volcanic rock"
"Mottskel","Granodiorite"
"Mottsville","Granite"
"Moulton","Igneous rock"
"Mound","Basalt"
"Mount Lucas","Diabase"
"Mountain Park","Mica schist"
"Mountainboy","Limestone"
"Mountainburg","Sandstone"
"Mountaincity","Granite"
"Mountaineer","Gneiss"
"Mountainville","Quartzite"
"Mountairy","Sandstone and shale"
"Mountbaldy","Sandstone"
"Mountedith","Igneous and metamorphic rock"
"Mountemily","Basalt"
"Mounthat","Volcanic rock"
"Mounthope","Metavolcanics"
"Mountireland","Andesite"
"Mountlake","Calcareous siltstone"
"Mountmcull","Igneous and metamorphic rock"
"Mountmed","Mixed"
"Mountmummy","Limestone and dolomite"
"Mountom","Mixed"
"Mountpatterson","Volcanic rock"
"Mountpoor","Rhyolite"
"Mountrose","Volcanic rock"
"Mountview","Cherty limestone"
"Mountyana","Volcanic breccia"
"Mountzion","Basalt"
"Mouser","Greenstone"
"Movieflat","Granite"
"Mowako","Sedimentary rock"
"Mowata","Igneous, metamorphic and sedimentary rock"
"Mowbray","Argillite"
"Moweba","Conglomerate"
"Mower","Sandstone and shale"
"Moyers","Shale"
"Moyerson","Shale"
"Mt Rogers","Rhyolite"
"Mt. Airy","Mica schist"
"Mt. Olive","Diorite"
"Mt. Zion","Greenstone"
"Mucara","Basalt"
"Muckalee","Sedimentary rock"
"Mud Springs","Granite"
"Mudco","Igneous rock"
"Mudcree","Sedimentary rock"
"Mudduck","Sandstone and shale"
"Muddybench","Metamorphic and sedimentary rock"
"Muddycreek","Granite"
"Mudgepond","Limestone and dolomite"
"Mudgetts","Calcareous sandstone"
"Mudhorse","Mudstone"
"Mudlakebasin","Granite"
"Mudlavia","Limestone"
"Mudlick","Diorite"
"Mudpot","Basalt"
"Mudray","Shale"
"Mudwash","Basalt"
"Mueller","Basalt"
"Mues","Igneous and sedimentary rock"
"Muff","Sandstone and shale"
"Mug","Basalt"
"Mugatu","Sandstone and shale"
"Muggins","Igneous rock"
"Mughouse","Sandstone and shale"
"Mughut","Sandstone and shale"
"Mugwump","Mixed"
"Muiral","Limestone and dolomite"
"Muldoon","Igneous rock"
"Muldrow","Mixed"
"Mulecreek","Metasedimentary rock"
"Muleherder","Porcellanite"
"Mulespring","Metamorphic rock"
"Mulett","Sedimentary rock"
"Muleypoint","Igneous rock"
"Mulford","Basalt"
"Mulgon","Volcanic breccia"
"Mulhall","Shale"
"Mulholland","Tuff breccia"
"Mulkey","Basalt"
"Mulligan","Sandstone"
"Mullins","Shale and siltstone"
"Mulshoe","Welded tuff"
"Mulstay","Basalt"
"Mult","Limestone"
"Mumford","Limestone"
"Mummy","Schist"
"Mundalite","Gneiss"
"Mundos","Igneous, metamorphic and sedimentary rock"
"Muni","Sedimentary rock"
"Munjar","Volcanic rock"
"Munnell","Igneous rock"
"Munset","Basalt"
"Munsoncreek","Sedimentary rock"
"Munterville","Shale"
"Murain","Igneous and metamorphic rock"
"Muranch","Mixed"
"Murdock","Igneous rock"
"Murhut","Basalt"
"Murken","Igneous rock"
"Murlose","Basalt"
"Murnen","Basalt"
"Muroc","Granite"
"Murphill","Tuff"
"Murphy","Shale"
"Murray","Igneous rock"
"Murrieta","Basalt"
"Murrill","Limestone"
"Murtip","Igneous rock"
"Muscatine","Clayey shale"
"Muse","Acid shale"
"Musella","Gneiss"
"Musgrave","Tuff"
"Musgrove","Basalt"
"Mushel","Metamorphic rock"
"Musick","Granodiorite"
"Musinia","Sedimentary rock"
"Muskellunge","Igneous and sedimentary rock"
"Muskingum","Sandstone and shale"
"Musofare","Andesite"
"Musquiz","Igneous rock"
"Mussel","Calcareous shale"
"Musselshell","Limestone"
"Mussentuchit","Calcareous sandstone"
"Musserhill","Conglomerate"
"Mustang","Igneous, metamorphic and sedimentary rock"
"Musty","Metavolcanics"
"Mutang","Igneous rock"
"Mutt","Sedimentary rock"
"Mutton","Tuff"
"Muzzler","Conglomerate"
"Myakka","Limestone"
"Myatt","Sedimentary rock"
"Myers","Sedimentary rock"
"Myersville","Greenstone"
"Myford","Mixed"
"Mylrea","Granite"
"Myra","Sedimentary rock"
"Mystery","Sedimentary rock"
"Mysticlake","Andesite"
"Myton","Sandstone and shale"
"Naalehu","Pahoehoe lava"
"Nabor","Shale"
"Nacimiento","Calcareous shale"
"Naclina","Sandstone and shale"
"Naco","Arkose"
"Nacogdoches","Glauconitic sandstone"
